shoulderWidth,bustCircumference,waistCircumference,hipCircumference,body_shape,necklines
15.5,34,26,39.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,32.5,26,34,Rectangle,"Halter Neck, Off the Shoulder"
15,34,26,33.5,Rectangle,"Halter Neck, Off the Shoulder"
15.5,40,34,44,Rectangle,"Halter Neck, Off the Shoulder"
14,33.25,24.5,35.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,35,27,36,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,39.5,32.5,43.75,Apple,V-Neck
16,39.5,32,41.5,Rectangle,"Halter Neck, Off the Shoulder"
14.5,34.5,28,40,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,35.5,29,40,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,34.5,29.5,36.5,Rectangle,"Halter Neck, Off the Shoulder"
16,32.5,28,37,Rectangle,"Halter Neck, Off the Shoulder"
16,36,27,39.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,33.5,27,39,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,33.5,27.5,34.5,Rectangle,"Halter Neck, Off the Shoulder"
15,33,27,36.5,Apple,V-Neck
16,37.5,29,38,Rectangle,"Halter Neck, Off the Shoulder"
16,40,34,44,Rectangle,"Halter Neck, Off the Shoulder"
15,32,26,34.5,Rectangle,"Halter Neck, Off the Shoulder"
16,35,27,37,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
17,40.5,36,48,Pear,"V-Neck, Boat Neck"
14.5,37,32.5,42,Rectangle,"Halter Neck, Off the Shoulder"
17,41,34,43,Rectangle,"Halter Neck, Off the Shoulder"
16,40,33,41,Rectangle,"Halter Neck, Off the Shoulder"
15,38,30,44,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,40,37.5,45,Rectangle,"Halter Neck, Off the Shoulder"
16,40,27,45,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,40,34,43,Rectangle,"Halter Neck, Off the Shoulder"
16,39,30,41.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,35,28,40.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,34,29,34,Rectangle,"Halter Neck, Off the Shoulder"
16,41.5,34,44.5,Rectangle,"Halter Neck, Off the Shoulder"
15,35,25.5,40,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,36.5,30,41,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,34,29,42,Pear,"V-Neck, Boat Neck"
16,42,36,45,Rectangle,"Halter Neck, Off the Shoulder"
14,31,26,33,Rectangle,"Halter Neck, Off the Shoulder"
15,31.5,27,39,Pear,"V-Neck, Boat Neck"
15.5,41,31.5,45,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,32,25,33,Rectangle,"Halter Neck, Off the Shoulder"
15.5,46.5,35.5,48,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,38,31,42,Apple,V-Neck
14,50,36,48,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,41.5,32,43.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,39.5,33.5,43.5,Rectangle,"Halter Neck, Off the Shoulder"
16,40,35.5,42.5,Rectangle,"Halter Neck, Off the Shoulder"
